year,country,iso_code,commodity,production_tonnes,yield_t_per_ha,yoy_production_pct,yoy_yield_pct,yield_deviation_flag,enso_analog_flag,climate_region,section,provenance,yield_provenance
2019,Mexico,MEX,Avocado,2300889.0,0.011,5.32,0.0,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2019,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2019
2020,Mexico,MEX,Avocado,2393849.0,0.011,4.04,0.0,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2020,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2020
2021,Mexico,MEX,Avocado,2333368.0,0.01,-2.53,-9.091,1,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2021,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2021
2022,Mexico,MEX,Avocado,2603498.0,0.011,11.58,10.0,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2022,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2022
2023,Mexico,MEX,Avocado,2652499.0,0.011,1.88,0.0,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2023,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2023
2024,Mexico,MEX,Avocado,2669032.0,0.011,0.62,0.0,0,1,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2024,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2024
2025,Mexico,MEX,Avocado,2725080.0,0.011,2.1,0.0,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2025,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2025
2026,Mexico,MEX,Avocado,2800000.0,0.011,2.75,0.0,0,0,Mexico-Michoacan-Jalisco-Volcanic-Belt,Section 1,SIAP via GAIN MX2026-0019/MX2024-0018 — year 2026,DERIVED: SIAP production/area SOURCE: GAIN MX — year 2026
2000,World,OWID_WRL,Avocado,2705626.2,7.41,,,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2001,World,OWID_WRL,Avocado,2762552.5,7.64,2.1,3.104,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2002,World,OWID_WRL,Avocado,2943304.5,7.68,6.54,0.524,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2003,World,OWID_WRL,Avocado,3121497.0,7.73,6.05,0.651,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2004,World,OWID_WRL,Avocado,3164333.8,7.75,1.37,0.259,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2005,World,OWID_WRL,Avocado,3352808.0,7.79,5.96,0.516,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2006,World,OWID_WRL,Avocado,3572591.8,7.87,6.56,1.027,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2007,World,OWID_WRL,Avocado,3516965.5,7.9,-1.56,0.381,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2008,World,OWID_WRL,Avocado,3367356.2,7.84,-4.25,-0.759,0,0,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2009,World,OWID_WRL,Avocado,3832476.0,7.86,13.81,0.255,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
2010,World,OWID_WRL,Avocado,3801776.0,7.89,-0.8,0.382,0,1,World,Section 3,OWID avocado-production.csv,friend avocado_yield_per_hectare.csv — cross-validation only
