year,country,area_harvested_1000ha,imports_1000mt,exports_1000mt,ending_stocks_1000mt,yoy_exports_pct,yoy_stocks_pct,psd_production_1000mt,owid_production_tonnes,divergence_pct,divergence_flag,enso_analog_flag,provenance
2021,IDN,,,,,,,,650611.7,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2021
2022,IDN,,,,,,,,650611.7,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2022
2023,IDN,,,,,,,,632117.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2023
2024,IDN,,,,,,,,632702.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=ID year=2024
2000,ECU,,,,,,,,64991.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2000
2001,ECU,,,,,,,,76030.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2001
2002,ECU,,,,,,,,60268.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2002
2003,ECU,,,,,,,,88263.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2003
2004,ECU,,,,,,,,89680.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2004
2005,ECU,,,,,,,,93658.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2005
2006,ECU,,,,,,,,87561.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2006
2007,ECU,,,,,,,,85891.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2007
2008,ECU,,,,,,,,94300.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2008
2009,ECU,,,,,,,,120581.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2009
2010,ECU,,,,,,,,132099.0,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2010
2011,ECU,,,,,,,,163151.73,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2011
2012,ECU,,,,,,,,133322.98,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2012
2013,ECU,,,,,,,,128446.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2013
2014,ECU,,,,,,,,156215.97,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2014
2015,ECU,,,,,,,,180192.38,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2015
2016,ECU,,,,,,,,177551.3,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2016
2017,ECU,,,,,,,,205955.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2017
2018,ECU,,,,,,,,235182.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2018
2019,ECU,,,,,,,,283679.56,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2019
2020,ECU,,,,,,,,327902.56,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2020
2021,ECU,,,,,,,,302093.9,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2021
2022,ECU,,,,,,,,337149.4,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2022
2023,ECU,,,,,,,,375719.12,,False,True,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2023
2024,ECU,,,,,,,,403698.84,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=EC year=2024
2000,CMR,,,,,,,,122600.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2000
2001,CMR,,,,,,,,122100.0,,False,False,SOURCE: USDA FAS PSD API commodity=0620000 country=CM year=2001
